ACCOUNTID,Account Name,Account Owner Id,Account Owner,Account Type,Industry,Website,Tasks Involved,Events Involved,Calls Involved,Activities Involved
2,Laura Ashley,1011,Tina Thomas,Customer,Technology,BetaPages.com,Yes,No,No,Yes
3,Angel's,1009,Thomas Mondrake,Prospect,Manufacturing,CompHotel.com,No,No,No,No
4,DGS VolMAX,1009,Thomas Mondrake,Prospect,Consulting,GraySmoke.com,No,No,No,No
5,Mostow Co.,1006,Harold Pawlan,Prospect,Manufacturing,WeightlossHelpline.com,Yes,No,No,Yes
6,Gas Depot,1002,Santa Cruz Clara,Prospect,Government/Military,BiteNails.com,No,No,No,No
7,Rose Records,1002,Santa Cruz Clara,Prospect,Financial Services,InformationAffiliate.com,No,No,No,No
8,Circuit Design,1003,Lazar Mathew,Customer,Government/Military,SaltLakeCityFlower.com,No,No,No,No
9,Anthony's,1003,Lazar Mathew,Customer,Financial Services,ThirdTechnology.com,No,No,No,No
10,Jack Lang,1008,Roger Terrence,Customer,Service Provider,PrisonMobile.com,Yes,Yes,No,Yes
11,Great Western,1005,Jasmine Frank,Customer,IT Services,AutoMining.com,Yes,No,Yes,Yes
12,Carrols Restaurant Group,1003,Lazar Mathew,Customer,Technology,NoMoratorium.com,Yes,Yes,No,Yes
13,Adray,1002,Santa Cruz Clara,Prospect,Pharma,CoalExpert.com,No,No,No,No
14,Life Map,1003,Lazar Mathew,Prospect,Service Provider,AfterFiesta.com,No,No,No,No
15,Expo Superstore,1003,Lazar Mathew,Customer,Manufacturing,GovernmentFlag.com,Yes,Yes,No,Yes
16,Childrens Bargain Town,1010,Augustine Paul,Customer,Service Provider,SanDiegoFuneralHome.com,Yes,Yes,No,Yes
17,Yesterday's Records,1007,David Love,Prospect,Government/Military,WirelessTiger.com,Yes,Yes,No,Yes
18,Giant Open Air,1002,Santa Cruz Clara,Customer,Education,ShopIncentive.com,No,No,No,No
19,Smitty's Marketplace,1008,Roger Terrence,Customer,IT Services,CostumeStyles.com,No,No,No,No
20,Buckeye Furniture,1002,Santa Cruz Clara,Prospect,Consulting,VogueGame.com,Yes,No,Yes,Yes
21,Practi-Plan,1011,Tina Thomas,Prospect,Government/Military,EffectBuilder.com,Yes,No,No,Yes
22,Erb Lumber,1010,Augustine Paul,Prospect,Government/Military,CapitalMile.com,No,No,No,No
23,Netobill,1010,Augustine Paul,Customer,Service Provider,TonerTraders.com,Yes,No,No,Yes
24,Magna Consulting,1004,Pete Zachariah,Customer,IT Services,TextbookReseller.com,No,No,No,No
