INVENTORYRELID,Product Name,List Price,Quantity,Total,Discount,Total After Discount,Tax,Net Total,BOOKID
24000000,A/C schrader valve,$442.20,7,"$3,095.40",$298.79,"$2,796.62",$149.01,"$2,647.60",24000001
24000001,Pop C2,"$1,781.24",7,"$12,468.65",$476.62,"$11,992.03",$965.07,"$11,026.95",24000005
24000013,tin,"$3,150.78",10,"$31,507.80","$3,524.27","$27,983.54","$4,462.14","$23,521.40",24000005
24000014,OT 511,"$1,032.90",6,"$6,197.39",$472.29,"$5,725.10",$822.20,"$4,902.90",24000003
24000015,Pickaroon,$385.26,6,"$2,311.53",$84.64,"$2,226.89",$320.09,"$1,906.80",24000003
24000016,scarf,"$2,421.70",9,"$21,795.29",$694.05,"$21,101.24","$3,829.83","$17,271.41",24000006
24000017,Almond meal,"$2,319.35",1,"$2,319.35",$275.58,"$2,043.77",$406.51,"$1,637.26",24000004
24000018,Carpenter's axe,$774.51,8,"$6,196.09",$654.74,"$5,541.35",$952.40,"$4,588.95",24000005
24000031,Lumia 710 T-Mobile,"$1,381.43",10,"$13,814.27","$1,457.77","$12,356.50","$1,720.82","$10,635.68",24000002
24000032,dishcloth,"$1,555.25",1,"$1,555.25",$76.23,"$1,479.02",$89.72,"$1,389.30",24000002
24000033,saw,"$2,148.87",3,"$6,446.62",$206.60,"$6,240.02",$329.68,"$5,910.34",24000007
24000034,tie,$223.00,8,"$1,784.04",$179.20,"$1,604.84",$238.86,"$1,365.98",24000001
24000035,OT-909 One Touch MAX,"$2,355.32",4,"$9,421.28",$287.12,"$9,134.16",$367.92,"$8,766.24",24000004
24000036,"Gasket: Flat, moulded, profiled","$2,031.61",5,"$10,158.05",$873.09,"$9,284.96","$1,521.47","$7,763.49",24000006
24000041,downstairs product,$230.23,10,"$2,302.31",$260.71,"$2,041.60",$370.65,"$1,670.95",24000008
24000042,Taco night Ready-bake breads,$361.51,5,"$1,807.55",$177.93,"$1,629.62",$96.92,"$1,532.70",24000006
