PRODUCTID,Product Name,Product Owner,Product Code,Product Active,Product Manufacturer,Product Category,Created Time,Modified Time,Cost,Taxable,Commission Rate,Quantity Ordered,Quantity In Stock,Reorder Level,Quantity In Demand,Cost of Stocks in hand,Need Replenishment
16000000,A/C COOLER,Lazar Mathew,P1,No,Lamport Corp,Commercial,"04 Nov, 2019 09:13:43","09 Dec, 2020 04:42:47","$1,773.85",No,$45.23,20,39,20,1,"$69,180.15",No
16000001,A/C EvaporatorBearings    Ball joint,Harold Pawlan,P2,Yes,NYC Ltd.,Commercial,"25 Apr, 2019 03:44:32","01 Jan, 2020 01:33:29","$1,170.20",No,$94.80,23,15,30,4,"$17,553.00",Yes
16000002,A/C INNER PLATE,Pete Zachariah,P3,Yes,LexPon Inc.,Commercial,"30 Sep, 2020 02:09:41","31 Mar, 2021 07:21:58","$1,348.58",Yes,$98.79,32,26,10,18,"$35,063.08",No
16000003,A/C compressor,Thomas Mondrake,P4,Yes,MetBeat Corp,Commercial,"13 Jul, 2019 03:18:40","14 Dec, 2019 08:13:23",$885.84,Yes,$86.99,44,37,30,9,"$32,776.08",No
16000004,A/C condenser,Tina Thomas,P5,No,NYC Ltd.,Commercial,"14 May, 2019 11:55:09","05 May, 2020 10:17:28","$1,715.33",No,$29.22,3,27,20,5,"$46,313.91",No
16000005,A/C expansion valve,Augustine Paul,P6,Yes,Lamport Corp,Commercial,"29 Mar, 2021 06:41:23","09 Apr, 2021 04:21:51","$1,038.23",No,$29.04,32,25,30,3,"$25,955.75",Yes
16000006,A/C hose,Santa Cruz Clara,P7,Yes,"Johnes Inc.,",Commercial,"29 Apr, 2020 05:05:04","16 May, 2020 02:03:08",$272.92,No,$36.72,49,2,20,3,$545.84,Yes
16000007,A/C kit,Roger Terrence,P8,Yes,Indiana Ltd.,Commercial,"06 Mar, 2021 09:03:09","06 Apr, 2021 11:33:01",$335.87,No,$53.00,25,32,30,15,"$10,747.84",No
16000008,A/C low-pressure valve,Jasmine Frank,P9,Yes,AltvetPet Inc.,Commercial,"15 Jul, 2019 11:04:44","01 Jul, 2020 06:12:58",$257.73,No,$95.33,47,5,10,16,"$1,288.65",Yes
16000009,A/C relay,David Love,P10,Yes,MetBeat Corp,Commercial,"27 Nov, 2019 01:45:08","23 Jan, 2020 06:08:57","$1,678.29",Yes,$15.63,19,26,30,14,"$43,635.54",Yes
