INVENTORYRELID,Product Name,List Price,Quantity,Total,Discount,Total after Discount,Tax,Net Total,BOOKID
18000000,dust,"$1,009.784",3,"$3,029.352",$60.587,"$2,968.765",$0,"$2,968.765",24000003
18000001,Boiler (water heating),$464.882,6,"$2,789.294",$83.679,"$2,705.615",$27.893,"$2,733.508",24000008
18000002,Brake servo,$775.102,1,$775.102,$0,$775.102,$31.004,$806.106,24000008
18000003,Command Pod Mk1,$201.848,4,$807.394,$16.148,$791.246,$24.222,$815.468,24000008
18000004,Earth oven,"$1,131.258",7,"$7,918.803",$158.376,"$7,760.427",$158.376,"$7,918.803",24000001
18000005,Gray's Inn Lane Hand Axe,"$1,266.123",10,"$12,661.227",$506.449,"$12,154.777",$379.837,"$12,534.614",24000009
18000006,dinner jacket,"$1,270.348",5,"$6,351.742",$190.552,"$6,161.19",$127.035,"$6,288.225",24000001
18000007,Z-4K Rechargeable Battery Bank,"$1,243.162",6,"$7,458.972",$298.359,"$7,160.613",$298.359,"$7,458.972",24000004
18000008,staircase product,"$1,158.461",2,"$2,316.923",$69.508,"$2,247.415",$69.508,"$2,316.923",24000002
18000009,pillowcase,"$1,316.481",3,"$3,949.442",$39.494,"$3,909.948",$78.989,"$3,988.936",24000008
18000010,A/C condenser,"$1,681.027",9,"$15,129.242",$0,"$15,129.242",$0,"$15,129.242",24000002
18000011,Brake duct hose,"$1,752.841",6,"$10,517.045",$210.341,"$10,306.704",$105.17,"$10,411.875",24000002
18000012,Washer,$385.179,4,"$1,540.714",$30.814,"$1,509.9",$61.629,"$1,571.529",24000002
18000013,Glutinous rice,"$1,322.675",3,"$3,968.024",$0,"$3,968.024",$119.041,"$4,087.065",24000001
18000014,shower product,"$1,806.702",9,"$16,260.322",$650.413,"$15,609.909",$162.603,"$15,772.513",24000001
18000015,Lighter,"$1,109.445",2,"$2,218.89",$88.756,"$2,130.134",$44.378,"$2,174.512",24000002
18000016,Flange nut,"$1,485.463",10,"$14,854.633",$297.093,"$14,557.54",$148.546,"$14,706.086",24000009
18000017,Grab Handle,"$1,595.225",2,"$3,190.45",$127.618,"$3,062.832",$127.618,"$3,190.45",24000006
18000018,scissors,$799.066,4,"$3,196.266",$63.925,"$3,132.341",$63.925,"$3,196.266",24000003
18000019,Comal (cookware),"$1,397.934",8,"$11,183.47",$335.504,"$10,847.966",$223.669,"$11,071.635",24000006
18000020,Performance monitor,$394.035,5,"$1,970.175",$78.807,"$1,891.368",$19.702,"$1,911.069",24000009
18000021,Valve stem seal,$116.773,2,$233.545,$2.335,$231.21,$4.671,$235.881,24000005
18000022,Bisquick,"$1,121.037",9,"$10,089.336",$0,"$10,089.336",$403.573,"$10,492.909",24000005
18000023,stamps,$814.83,2,"$1,629.66",$0,"$1,629.66",$0,"$1,629.66",24000007
18000024,Zest (ingredient),"$1,819.083",4,"$7,276.332",$218.29,"$7,058.042",$0,"$7,058.042",24000003
18000025,A/C kit,$356.017,5,"$1,780.087",$53.403,"$1,726.685",$35.602,"$1,762.286",24000007
18000026,nylon,$179.915,5,$899.574,$35.983,$863.591,$8.996,$872.587,24000005
18000027,Lumia 730 Dual SIM,$623.285,5,"$3,116.426",$31.164,"$3,085.261",$0,"$3,085.261",24000006
18000028,temperature gauge,$334.456,4,"$1,337.825",$13.378,"$1,324.447",$13.378,"$1,337.825",24000003
18000029,Front spoiler (air dam),"$1,459.287",9,"$13,133.584",$262.672,"$12,870.912",$525.343,"$13,396.256",24000004
18000030,Intake manifold,"$1,123.138",5,"$5,615.693",$112.314,"$5,503.379",$56.157,"$5,559.536",24000002
18000031,TR-18D Stack Separator,"$1,880.616",6,"$11,283.693",$225.674,"$11,058.02",$0,"$11,058.02",24000004
18000032,Rivet,$512.636,9,"$4,613.724",$0,"$4,613.724",$0,"$4,613.724",24000002
18000033,plastic wrap,"$1,323.936",5,"$6,619.681",$66.197,"$6,553.484",$264.787,"$6,818.271",24000004
18000034,filing cabinet,"$1,853.764",4,"$7,415.056",$74.151,"$7,340.906",$0,"$7,340.906",24000007
18000035,Fire pot,$440.963,8,"$3,527.706",$141.108,"$3,386.598",$105.831,"$3,492.429",24000004
18000036,Mambele (knives),$209.658,10,"$2,096.576",$62.897,"$2,033.679",$62.897,"$2,096.576",24000002
18000037,Bolt cutter,"$1,892.281",9,"$17,030.527",$340.611,"$16,689.916",$0,"$16,689.916",24000006
18000038,Pickles,$215.816,9,"$1,942.344",$38.847,"$1,903.497",$38.847,"$1,942.344",24000009
18000039,Asha 500 Dual SIM,"$1,030.173",9,"$9,271.557",$92.716,"$9,178.841",$278.147,"$9,456.987",24000009
18000040,X6 8GB,"$1,412.293",3,"$4,236.879",$0,"$4,236.879",$127.106,"$4,363.985",24000004
18000041,Sandwich slices,$875.699,2,"$1,751.399",$52.542,"$1,698.857",$35.028,"$1,733.885",24000004
18000042,Soy milk maker,$520.597,3,"$1,561.791",$46.854,"$1,514.937",$31.236,"$1,546.173",24000008
18000043,OT-E230,"$1,560.868",2,"$3,121.736",$0,"$3,121.736",$124.869,"$3,246.606",24000001
18000044,Pressure differential valve,"$1,472.537",1,"$1,472.537",$0,"$1,472.537",$29.451,"$1,501.988",24000003
18000045,Battery plate,$361.493,4,"$1,445.972",$43.379,"$1,402.592",$14.46,"$1,417.052",24000009
18000046,Bagels,$512.272,5,"$2,561.362",$51.227,"$2,510.134",$25.614,"$2,535.748",24000002
18000047,Barbecue grill,"$1,760.339",2,"$3,520.678",$35.207,"$3,485.471",$70.414,"$3,555.885",24000001
18000048,Other alternator partsElectrical supply system    Battery,$879.445,10,"$8,794.452",$0,"$8,794.452",$263.834,"$9,058.286",24000003
18000049,ornament,$774.217,6,"$4,645.304",$92.906,"$4,552.398",$185.812,"$4,738.21",24000008
18000050,cardigan,$324.623,3,$973.87,$19.477,$954.393,$9.739,$964.132,24000002
18000051,Alternator bracket,"$1,776.362",6,"$10,658.171",$426.327,"$10,231.844",$0,"$10,231.844",24000009
18000052,Radiator core support,"$1,281.192",10,"$12,811.919",$384.358,"$12,427.562",$256.238,"$12,683.8",24000001
18000053,OT-E265,"$1,146.513",2,"$2,293.026",$45.861,"$2,247.166",$68.791,"$2,315.956",24000002
18000054,Mural,$787.199,9,"$7,084.793",$283.392,"$6,801.401",$212.544,"$7,013.945",24000003
18000055,brake pedal,"$1,788.763",2,"$3,577.525",$107.326,"$3,470.2",$143.101,"$3,613.3",24000009
18000056,One Touch Idol,"$1,056.806",2,"$2,113.612",$0,"$2,113.612",$21.136,"$2,134.748",24000001
18000057,OT-317D,"$1,431.878",4,"$5,727.513",$114.55,"$5,612.962",$57.275,"$5,670.237",24000007
18000058,Odometer (also called milometer or mileometers),"$1,134.285",3,"$3,402.855",$102.086,"$3,300.769",$34.029,"$3,334.798",24000001
18000059,Vodka,"$1,257.993",2,"$2,515.986",$75.48,"$2,440.506",$100.639,"$2,541.146",24000004
18000060,OT Club db,"$1,100.096",9,"$9,900.859",$297.026,"$9,603.834",$297.026,"$9,900.859",24000007
18000061,Camshaft pushrod,$182.412,5,$912.061,$0,$912.061,$18.241,$930.302,24000001
