INVENTORYRELID,Product Name,List Price,Quantity,Total,Discount,Total After Discount,Tax,Net Total,BOOKID
22000000,A/C schrader valve,$270.96,7,"$1,896.72",$56.90,"$1,839.82",$37.93,"$1,877.75",24000009
22000001,Pop C2,"$1,252.82",7,"$8,769.75",$175.40,"$8,594.36",$350.79,"$8,945.15",24000009
22000003,Pets TV dinners,"$2,016.16",7,"$14,113.12",$141.13,"$13,971.98",$141.13,"$14,113.12",24000003
22000004,Brake backing plate,"$1,081.19",7,"$7,568.35",$75.68,"$7,492.67",$151.37,"$7,644.04",24000009
22000005,OT-E158,"$1,454.12",3,"$4,362.36",$43.62,"$4,318.74",$43.62,"$4,362.36",24000004
22000006,One Touch S'Pop,"$1,226.06",8,"$9,808.48",$196.17,"$9,612.31",$98.08,"$9,710.40",24000009
22000007,OT-I650 PRO,"$1,014.59",2,"$2,029.18",$0.00,"$2,029.18",$40.58,"$2,069.76",24000008
22000013,tin,"$1,876.49",10,"$18,764.94",$562.95,"$18,201.99",$0.00,"$18,201.99",24000004
22000014,OT 511,$671.38,6,"$4,028.25",$0.00,"$4,028.25",$40.28,"$4,068.54",24000005
22000015,Pickaroon,$286.98,6,"$1,721.85",$68.87,"$1,652.98",$51.66,"$1,704.63",24000009
22000016,scarf,"$1,662.18",9,"$14,959.62",$149.60,"$14,810.02",$448.79,"$15,258.81",24000009
22000017,Almond meal,"$1,536.73",1,"$1,536.73",$0.00,"$1,536.73",$30.73,"$1,567.47",24000005
22000018,Carpenter's axe,$551.32,8,"$4,410.59",$88.21,"$4,322.38",$44.11,"$4,366.49",24000007
22000019,CCP SO-Zi,"$1,427.38",9,"$12,846.40",$128.46,"$12,717.93",$385.39,"$13,103.32",24000008
22000020,Clutch lining,"$1,631.18",7,"$11,418.24",$0.00,"$11,418.24",$456.73,"$11,874.98",24000001
22000021,Gerber multitool,$380.33,2,$760.66,$0.00,$760.66,$30.43,$791.08,24000005
22000031,Lumia 710 T-Mobile,"$1,117.66",10,"$11,176.58",$111.77,"$11,064.81",$223.53,"$11,288.35",24000007
22000032,dishcloth,"$1,152.47",1,"$1,152.47",$23.05,"$1,129.43",$0.00,"$1,129.43",24000007
22000033,saw,"$1,809.35",3,"$5,428.05",$54.28,"$5,373.77",$108.56,"$5,482.33",24000001
22000034,tie,$162.11,8,"$1,296.90",$51.88,"$1,245.02",$51.88,"$1,296.90",24000004
22000035,OT-909 One Touch MAX,"$1,486.5",4,"$5,946.00",$0.00,"$5,946.00",$118.92,"$6,064.92",24000005
22000036,"Gasket: Flat, moulded, profiled","$1,671.22",5,"$8,356.08",$167.12,"$8,188.95",$83.56,"$8,272.52",24000009
22000039,OT-505,"$1,602.08",3,"$4,806.24",$48.06,"$4,758.18",$48.06,"$4,806.24",24000001
22000040,ironing board,"$1,242.33",4,"$4,969.34",$0.00,"$4,969.34",$49.69,"$5,019.03",24000008
22000041,downstairs product,$156.53,10,"$1,565.31",$46.96,"$1,518.35",$46.96,"$1,565.31",24000004
22000042,Taco night Ready-bake breads,$290.39,5,"$1,451.96",$14.52,"$1,437.44",$0.00,"$1,437.44",24000004
22000043,Convection microwave,"$1,247.58",3,"$3,742.74",$149.71,"$3,593.03",$0.00,"$3,593.03",24000005
22000044,stilettos,"$1,276.77",9,"$11,490.89",$459.64,"$11,031.25",$229.82,"$11,261.07",24000008
22000045,OT 565,"$1,447.85",4,"$5,791.40",$173.74,"$5,617.66",$0.00,"$5,617.66",24000003
