SALESORDERID,Subject,Sales Order Owner,Status,Due Date,Sub Total,Discount,Tax,Adjustments,Grand Total,Created Time,Modified Time,Is Delayed?,Age In Days,Age Tier,,,,,,,,
21000837,ZR-1543170-Knoll Style Sofa (Vintage Almond),Jasmine Frank,Approved,03-07-2021 01:09,"9,326.84",855.13,490.06,0.35,"7,982",03-07-2021 12:59,03-07-2021 01:40,Yes,0,1. 0 - 60 days,,,,,,,,
21002480,ZR-50737-Barcelona Chair (Italian Ivory),Harold Pawlan,Delivered,03-07-2021 02:11,"20,696.71",607.26,"1,230.99",0.47,"18,858",03-07-2021 11:44,03-07-2021 01:59,Yes,0,1. 0 - 60 days,,,,,,,,
21001072,ZR-1568033-Barcelona Chair (Italian Black),Rozario Diego,Created,03-07-2021 02:16,"3,445.56",93.97,265.35,0.25,"3,086",03-07-2021 10:06,03-07-2021 10:54,Yes,0,1. 0 - 60 days,,,,,,,,
21000260,ZR-1514185-Brno Flat Chair (Italian Black),Santa Cruz Clara,Created,03-07-2021 01:51,"2,089.59",177.59,117.76,0.24,"1,794",03-07-2021 03:41,03-07-2021 01:47,Yes,0,1. 0 - 60 days,,,,,,,,
21000950,ZR-1601701-Eames Lounge Chair with Ottoman (Italian White wit,Santa Cruz Clara,Cancelled,03-07-2021 02:13,"23,413.23",335.45,417.24,0.46,"22,661",03-07-2021 02:12,03-07-2021 02:13,No,0,1. 0 - 60 days,,,,,,,,
21000002,ZR-1571813-Replacement part,David Love,Approved,03-07-2021 01:13,"19,252.30",219.29,111.53,0.48,"18,921",03-07-2021 02:02,03-07-2021 03:05,Yes,0,1. 0 - 60 days,,,,,,,,
21003541,ZR-54517-Knoll Sofa (Aniline Camel),Lazar Mathew,Cancelled,03-07-2021 12:44,"9,202.30",303.63,170.91,0.24,"8,728",02-07-2021 09:41,02-07-2021 11:42,No,1,1. 0 - 60 days,,,,,,,,
21000346,ZR-1509505-Slice Chair (Cashmere Wool  White),Pete Zachariah,Delivered,02-07-2021 09:40,"15,379.04",782.06,527.65,0.33,"14,069",02-07-2021 07:22,02-07-2021 12:30,Yes,0,1. 0 - 60 days,,,,,,,,
21001791,ZR-1508416-Barcelona Chair (Aniline White),Augustine Paul,Delivered,03-07-2021 11:16,"1,065.34",9.64,68.56,0.14,987,02-07-2021 06:45,03-07-2021 01:04,Yes,1,1. 0 - 60 days,,,,,,,,
21001485,ZR-1540255-Barcellona Ottoman only (Italian Red),Tina Thomas,Created,02-07-2021 04:04,"32,776.20","2,306.51","2,137.77",0.08,"28,332",01-07-2021 12:10,01-07-2021 07:44,Yes,1,1. 0 - 60 days,,,,,,,,
21002748,ZR-49773-PH Artichoke Lamp 24' (Silver),David Love,Approved,02-07-2021 08:17,"19,110.82",828.82,"1,266.73",0.28,"17,015",01-07-2021 12:02,02-07-2021 05:52,Yes,1,1. 0 - 60 days,,,,,,,,
21002892,ZR-1628727-Eames High Back (Italian Red),Roger Terrence,Cancelled,03-07-2021 11:43,"12,263.63",70.78,146.36,0.49,"12,046",01-07-2021 10:58,03-07-2021 11:32,No,2,1. 0 - 60 days,,,,,,,,
21002073,ZR-1596953-Knoll Sofa (Cashmere Wool  Dark Grey),Rozario Diego,Approved,03-07-2021 01:38,"14,197.13",317.35,"1,110.01",0.23,"12,770",01-07-2021 10:46,03-07-2021 01:27,Yes,2,1. 0 - 60 days,,,,,,,,
21000302,ZR-1600736-Eileen Grey End Table (Stainless Steel - Translucent),Tina Thomas,Created,03-07-2021 03:59,"4,055.08",94.98,146.36,0.27,"3,814",01-07-2021 09:44,03-07-2021 01:34,Yes,2,1. 0 - 60 days,,,,,,,,
21002034,ZR-1629476-Wassily Chair (Italian Black),Thomas Mondrake,Created,03-07-2021 01:38,"14,856.79","1,244.23",901.33,0.23,"12,711",01-07-2021 07:40,03-07-2021 01:09,Yes,2,1. 0 - 60 days,,,,,,,,
21002038,ZR-54428-Eames Lounge Chair with Ottoman (Aniline Black wit,Roger Terrence,Approved,03-07-2021 01:34,"39,550.84","3,733.92",227.26,0.34,"35,590",01-07-2021 06:23,03-07-2021 12:18,Yes,2,1. 0 - 60 days,,,,,,,,
21000219,ZR-1596924-Barcelona Chair (Aniline Ivory),Rozario Diego,Approved,02-07-2021 12:55,"7,480.19",640.94,408.71,0.45,"6,431",01-07-2021 03:57,01-07-2021 11:00,Yes,1,1. 0 - 60 days,,,,,,,,
21000037,ZR-1597013-Barcelona Style Coffee Table (3/4 glass),Tina Thomas,Created,03-07-2021 07:51,"18,196.46","1,305.31",171.76,0.39,"16,719",01-07-2021 03:44,03-07-2021 05:53,Yes,2,1. 0 - 60 days,,,,,,,,
21000549,ZR-1599835-Barcelona Chair (Italian Black),Pete Zachariah,Approved,30-06-2021 06:30,"11,940.79",323.64,235.59,0.45,"11,382",30-06-2021 10:39,30-06-2021 03:39,Yes,0,1. 0 - 60 days,,,,,,,,
21001038,ZR-1601694-Barcelona Chair (Aniline Black),Jasmine Frank,Approved,02-07-2021 09:17,"27,586.68","1,211.67","1,620.36",0.34,"24,755",30-06-2021 10:23,02-07-2021 06:04,Yes,2,1. 0 - 60 days,,,,,,,,
